NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,431.1147766113281
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,434.0452880859375
b38a03232f43b11c9d0788abaf060f7366053b6d,571.71282958984375
70b682d9a3636be23f6120fa9d6b164eb3c6002d,NA
715494628a50142ce8cb17191cfe6d0f3cae0934,518.71038818359375
e656d6bad65c93fb2880f1eba5037008c8e75774,482.3189697265625
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,531.8465576171875
11539e86171bf07d3a36f09377d7f54ebcc8406a,420.40789794921875
043c544a2104aa8a9849f1a703a08d37a2f16839,452.3450622558594
76ba050e64ad100b856f0eaabd8f539d5c7dd185,456.9903869628906
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,NA
db4da599aab5bb08dce27094a35fd3e36cd0abce,NA
940aede382ccb332fab15d413217695ec44ca765,455.8990783691406
9ad714b116da76d878dd399d187fccc2dd13dd63,564.91265869140625
dd34464a4d780b12a089347ad580418ac57a3055,522.8818359375
f837a4cb05a5fd59d20138182f5e8c721eadd584,473.3149108886719
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,NA
ca8477c8493b09f34d17bb287f9bacf2dd744c32,NA
8b0c675d7fde14953668269d378c588f0df0498b,NA
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,403.9416198730469
3d203727f27abd83b71732d88d8cb1cc099f363b,459.6646728515625
d30d31c8ff45094e9a992c63d4a6f68b245a341a,NA
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,NA
cbc301183dec912f3513ca766bf03dd565f3a38f,452.0822448730469
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,655.78753662109375
11282da1ee78c8db45a041db4c744e33df489df0,450.43328857421875
03c67f683a415c2ea09b582248bd4cb08528c19d,604.1898193359375
046e844fb06a07ba30b41521f0065a8d9c6e5024,416.5204162597656
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,444.55975341796875
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,NA
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,NA
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,450.6749267578125
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,572.3565673828125
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,466.7303161621094
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,525.82391357421875
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,482.835205078125
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,464.5742492675781
59bfa081e020013410d9f60f91813964ba749bb2,431.3952331542969
f5e069ee3bc95998464e8ff5da048b7f999921ed,419.19146728515625
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,579.34539794921875
664f44258212a1f7e4086f2b4845d586c543fa3f,475.7198486328125
265cd7befa74a9f2a198fc57baec9858075f8419,464.7281188964844
6f9ac44919bbd204e0ef15185388fd2d4bc61253,497.8567810058594
78de1ee60b55766cc3eba4089e36c57139b66ebd,454.4622802734375
24550edb10f283ef4e953fd6a8fedbfa211bd456,NA
1e61a474acdc043eb39a89c17fab34bd2ea1a940,432.05413818359375
940af68ded6af2875708611051aa7ff3f134d80b,485.2804870605469
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,480.7406921386719
c76ddf6e9f80984e901b12f9462a3cf029bea290,518.61187744140625
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,453.1763916015625
65bba36aa15f0c4ef3562ea56c125d931bc4ed63,NA
